index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,dropped_at,erred_at,product
461,OTHER,T18,4,4,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
392,T09,OTHER,4,5,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
94,OTHER,T18,4,4,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
287,OTHER,T18,4,4,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
907,T09,OTHER,4,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
262,OTHER,T18,4,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
557,T09,OTHER,4,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
440,T09,OTHER,5,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
526,T18,OTHER,5,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
435,T18,OTHER,5,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
81,OTHER,T18,5,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
637,T18,OTHER,5,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
3,OTHER,T18,5,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
914,T18,OTHER,5,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
880,T09,OTHER,5,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
866,T09,OTHER,5,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
17,OTHER,T18,5,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
797,T09,OTHER,5,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
767,OTHER,T18,5,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
351,T09,OTHER,5,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
143,OTHER,T18,5,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
264,OTHER,T18,5,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
730,OTHER,T18,5,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
701,OTHER,T18,5,5,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
288,OTHER,T18,5,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
296,T09,OTHER,5,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
319,OTHER,T18,5,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
274,T09,OTHER,5,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
295,T09,OTHER,5,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
414,T18,OTHER,6,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
282,T18,OTHER,6,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
233,T09,OTHER,6,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
453,T18,OTHER,6,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
197,T18,OTHER,6,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
297,T09,OTHER,6,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
99,OTHER,T18,6,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
313,OTHER,T18,6,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
320,T18,OTHER,6,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
164,OTHER,T18,6,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
888,OTHER,T18,6,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
707,T09,OTHER,6,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
612,T09,OTHER,6,4,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
519,T18,OTHER,6,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
712,OTHER,T18,6,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
518,OTHER,T18,6,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
512,OTHER,T18,6,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
558,OTHER,T18,6,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
511,OTHER,T18,6,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
906,OTHER,T18,6,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
891,OTHER,T18,6,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
682,T09,OTHER,7,4,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
480,T09,OTHER,7,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
639,T18,OTHER,7,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
281,OTHER,T18,7,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
42,OTHER,T18,7,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
662,T09,OTHER,7,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
353,OTHER,T18,7,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
602,T09,OTHER,7,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
114,T18,OTHER,7,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
675,OTHER,T18,7,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
366,T09,OTHER,7,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
294,OTHER,T18,7,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
720,OTHER,T18,7,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
221,OTHER,T18,7,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
205,OTHER,T18,7,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
841,OTHER,T18,7,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
442,T09,OTHER,7,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
443,T18,OTHER,7,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
365,OTHER,T18,7,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
785,T18,OTHER,8,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
705,T09,OTHER,8,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
854,OTHER,T18,8,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
683,T09,OTHER,8,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
178,OTHER,T18,8,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
496,T18,OTHER,8,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
0,T09,OTHER,8,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
671,OTHER,T18,8,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
672,T18,OTHER,8,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
534,OTHER,T18,8,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
532,T09,OTHER,8,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
426,T09,OTHER,8,4,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
441,OTHER,T18,8,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
121,T18,OTHER,8,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
394,OTHER,T18,8,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
621,OTHER,T18,8,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
643,OTHER,T18,8,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
51,T09,OTHER,8,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
610,OTHER,T18,8,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
536,T09,OTHER,9,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
908,T09,OTHER,9,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
187,T09,OTHER,9,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
454,OTHER,T18,9,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
498,T09,OTHER,9,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
551,T09,OTHER,9,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
792,OTHER,T18,9,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
725,T18,OTHER,9,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
245,OTHER,T18,9,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
254,T18,OTHER,9,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
552,OTHER,T18,9,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
387,OTHER,T18,9,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
708,T18,OTHER,9,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
341,T18,OTHER,9,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
677,OTHER,T18,9,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
833,OTHER,T18,9,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
312,T09,OTHER,9,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
483,OTHER,T18,9,4,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
100,OTHER,T18,9,4,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
86,T09,OTHER,9,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
78,OTHER,T18,10,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
38,OTHER,T18,10,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
326,T18,OTHER,10,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
722,T18,OTHER,10,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
334,OTHER,T18,10,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
751,T09,OTHER,10,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
582,T18,OTHER,10,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
576,OTHER,T18,10,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
24,OTHER,T18,10,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
79,T09,OTHER,10,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
898,T18,OTHER,10,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
909,OTHER,T18,10,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
208,T09,OTHER,10,4,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
407,OTHER,T18,10,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
102,T18,OTHER,10,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
161,OTHER,T18,10,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
433,OTHER,T18,10,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
911,T18,OTHER,10,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
844,OTHER,T18,10,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
463,OTHER,T18,10,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
177,OTHER,T18,11,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
638,OTHER,T18,11,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
332,T09,OTHER,11,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
105,T18,OTHER,11,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
434,OTHER,T18,11,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
248,OTHER,T18,11,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
321,T18,OTHER,11,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
680,OTHER,T18,11,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
750,OTHER,T18,11,4,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
624,OTHER,T18,11,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
66,T09,OTHER,11,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
214,T18,OTHER,11,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
96,OTHER,T18,11,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
571,T18,OTHER,11,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
173,T09,OTHER,11,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
687,OTHER,T18,11,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
508,T09,OTHER,11,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
7,OTHER,T18,11,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
505,OTHER,T18,11,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
623,T09,OTHER,11,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
162,T18,OTHER,11,4,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
144,T18,OTHER,12,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
715,T09,OTHER,12,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
119,OTHER,T18,12,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
129,T18,OTHER,12,4,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
654,OTHER,T18,12,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
651,OTHER,T18,12,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
645,OTHER,T18,12,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
354,T09,OTHER,12,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
807,OTHER,T18,12,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
376,OTHER,T18,12,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
71,T09,OTHER,12,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
89,T09,OTHER,12,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
451,OTHER,T18,12,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
684,OTHER,T18,12,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
829,OTHER,T18,12,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
103,T18,OTHER,12,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
209,OTHER,T18,12,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
861,T09,OTHER,12,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
837,T18,OTHER,12,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
169,OTHER,T18,12,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
876,OTHER,T18,12,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
191,T09,OTHER,12,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
692,T09,OTHER,13,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
14,T18,OTHER,13,4,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
791,OTHER,T18,13,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
873,OTHER,T18,13,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
875,OTHER,T18,13,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
335,T09,OTHER,13,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
693,OTHER,T18,13,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
698,OTHER,T18,13,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
855,OTHER,T18,13,4,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
581,T18,OTHER,13,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
374,T09,OTHER,13,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
478,T09,OTHER,13,3,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
564,T09,OTHER,13,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
156,T18,OTHER,13,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
15,OTHER,T18,13,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
388,OTHER,T18,13,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
393,OTHER,T18,13,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
743,T18,OTHER,13,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
910,OTHER,T18,13,3,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
224,T18,OTHER,13,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
237,T09,OTHER,13,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
134,T18,OTHER,14,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
40,T09,OTHER,14,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
286,OTHER,T18,14,4,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
139,OTHER,T18,14,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
19,OTHER,T18,14,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
615,OTHER,T18,14,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
877,T09,OTHER,14,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
358,T18,OTHER,14,3,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
118,T18,OTHER,14,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
11,T09,OTHER,14,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
556,OTHER,T18,14,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
72,T09,OTHER,14,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
547,T09,OTHER,14,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
517,T09,OTHER,14,4,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
206,T18,OTHER,14,2,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
756,OTHER,T18,14,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
49,OTHER,T18,14,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
257,OTHER,T18,14,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
259,OTHER,T18,14,3,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
805,OTHER,T18,14,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
846,T09,OTHER,14,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
595,T18,OTHER,15,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
790,T09,OTHER,15,4,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
21,T18,OTHER,15,1,40,-1,-1,-1,05T18@2,BUYER,0,-1,-1,-1,3
355,T09,OTHER,15,2,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
800,T09,OTHER,15,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
58,OTHER,T18,15,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
308,OTHER,T18,15,2,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
890,OTHER,T18,15,2,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
475,OTHER,T18,15,1,10,-1,-1,-1,SELLER,01T18@0,0,-1,-1,-1,0
16,OTHER,T18,15,1,10,-1,-1,-1,SELLER,00T18@0,0,-1,-1,-1,0
632,T09,OTHER,15,1,40,-1,-1,-1,04T09@2,BUYER,0,-1,-1,-1,3
